Row index;Column index;Set index ;;;;;;;
;;0;1;2;3;4;5;6;7
0;0;9;174;0;72;3;156;143;145
;1;117;97;0;110;26;143;19;131
;2;204;166;0;23;53;14;176;71
;3;26;66;0;181;35;3;165;21
;6;189;71;0;95;115;40;196;23
;9;205;172;0;8;127;123;13;112
;10;0;0;0;1;0;0;0;1
;11;0;0;0;0;0;0;0;0
1;0;167;27;137;53;19;17;18;142
;3;166;36;124;156;94;65;27;174
;4;253;48;0;115;104;63;3;183
;5;125;92;0;156;66;1;102;27
;6;226;31;88;115;84;55;185;96
;7;156;187;0;200;98;37;17;23
;8;224;185;0;29;69;171;14;9
;9;252;3;55;31;50;133;180;167
;11;0;0;0;0;0;0;0;0
;12;0;0;0;0;0;0;0;0
2;0;81;25;20;152;95;98;126;74
;1;114;114;94;131;106;168;163;31
;3;44;117;99;46;92;107;47;3
;4;52;110;9;191;110;82;183;53
;8;240;114;108;91;111;142;132;155
;10;1;1;1;0;1;1;1;0
;12;0;0;0;0;0;0;0;0
;13;0;0;0;0;0;0;0;0
3;1;8;136;38;185;120;53;36;239
;2;58;175;15;6;121;174;48;171
;4;158;113;102;36;22;174;18;95
;5;104;72;146;124;4;127;111;110
;6;209;123;12;124;73;17;203;159
;7;54;118;57;110;49;89;3;199
;8;18;28;53;156;128;17;191;43
;9;128;186;46;133;79;105;160;75
;10;0;0;0;1;0;0;0;1
;13;0;0;0;0;0;0;0;0
4;0;179;72;0;200;42;86;43;29
;1;214;74;136;16;24;67;27;140
;11;71;29;157;101;51;83;117;180
;14;0;0;0;0;0;0;0;0
5;0;231;10;0;185;40;79;136;121
;1;41;44;131;138;140;84;49;41
;5;194;121;142;170;84;35;36;169
;7;159;80;141;219;137;103;132;88
;11;103;48;64;193;71;60;62;207
;15;0;0;0;0;0;0;0;0
6;0;155;129;0;123;109;47;7;137
;5;228;92;124;55;87;154;34;72
;7;45;100;99;31;107;10;198;172
;9;28;49;45;222;133;155;168;124
;11;158;184;148;209;139;29;12;56
;16;0;0;0;0;0;0;0;0
7;1;129;80;0;103;97;48;163;86
;5;147;186;45;13;135;125;78;186
;7;140;16;148;105;35;24;143;87
;11;3;102;96;150;108;47;107;172
;13;116;143;78;181;65;55;58;154
;17;0;0;0;0;0;0;0;0
8;0;142;118;0;147;70;53;101;176
;1;94;70;65;43;69;31;177;169
;12;230;152;87;152;88;161;22;225
;18;0;0;0;0;0;0;0;0
9;1;203;28;0;2;97;104;186;167
;8;205;132;97;30;40;142;27;238
;10;61;185;51;184;24;99;205;48
;11;247;178;85;83;49;64;81;68
;19;0;0;0;0;0;0;0;0
10;0;11;59;0;174;46;111;125;38
;1;185;104;17;150;41;25;60;217
;6;0;22;156;8;101;174;177;208
;7;117;52;20;56;96;23;51;232
;20;0;0;0;0;0;0;0;0
11;0;11;32;0;99;28;91;39;178
;7;236;92;7;138;30;175;29;214
;9;210;174;4;110;116;24;35;168
;13;56;154;2;99;64;141;8;51
;21;0;0;0;0;0;0;0;0
12;1;63;39;0;46;33;122;18;124
;3;111;93;113;217;122;11;155;122
;11;14;11;48;109;131;4;49;72
;22;0;0;0;0;0;0;0;0
13;0;83;49;0;37;76;29;32;48
;1;2;125;112;113;37;91;53;57
;8;38;35;102;143;62;27;95;167
;13;222;166;26;140;47;127;186;219
;23;0;0;0;0;0;0;0;0
14;1;115;19;0;36;143;11;91;82
;6;145;118;138;95;51;145;20;232
;11;3;21;57;40;130;8;52;204
;13;232;163;27;116;97;166;109;162
;24;0;0;0;0;0;0;0;0
15;0;51;68;0;116;139;137;174;38
;10;175;63;73;200;96;103;108;217
;11;213;81;99;110;128;40;102;157
;25;0;0;0;0;0;0;0;0
16;1;203;87;0;75;48;78;125;170
;9;142;177;79;158;9;158;31;23
;11;8;135;111;134;28;17;54;175
;12;242;64;143;97;8;165;176;202
;26;0;0;0;0;0;0;0;0
17;1;254;158;0;48;120;134;57;196
;5;124;23;24;132;43;23;201;173
;11;114;9;109;206;65;62;142;195
;12;64;6;18;2;42;163;35;218
;27;0;0;0;0;0;0;0;0
18;0;220;186;0;68;17;173;129;128
;6;194;6;18;16;106;31;203;211
;7;50;46;86;156;142;22;140;210
;28;0;0;0;0;0;0;0;0
19;0;87;58;0;35;79;13;110;39
;1;20;42;158;138;28;135;124;84
;10;185;156;154;86;41;145;52;88
;29;0;0;0;0;0;0;0;0
20;1;26;76;0;6;2;128;196;117
;4;105;61;148;20;103;52;35;227
;11;29;153;104;141;78;173;114;6
;30;0;0;0;0;0;0;0;0
21;0;76;157;0;80;91;156;10;238
;8;42;175;17;43;75;166;122;13
;13;210;67;33;81;81;40;23;11
;31;0;0;0;0;0;0;0;0
22;1;222;20;0;49;54;18;202;195
;2;63;52;4;1;132;163;126;44
;32;0;0;0;0;0;0;0;0
23;0;23;106;0;156;68;110;52;5
;3;235;86;75;54;115;132;170;94
;5;238;95;158;134;56;150;13;111
;33;0;0;0;0;0;0;0;0
24;1;46;182;0;153;30;113;113;81
;2;139;153;69;88;42;108;161;19
;9;8;64;87;63;101;61;88;130
;34;0;0;0;0;0;0;0;0
25;0;228;45;0;211;128;72;197;66
;5;156;21;65;94;63;136;194;95
;35;0;0;0;0;0;0;0;0
26;2;29;67;0;90;142;36;164;146
;7;143;137;100;6;28;38;172;66
;12;160;55;13;221;100;53;49;190
;13;122;85;7;6;133;145;161;86
;36;0;0;0;0;0;0;0;0
27;0;8;103;0;27;13;42;168;64
;6;151;50;32;118;10;104;193;181
;37;0;0;0;0;0;0;0;0
28;1;98;70;0;216;106;64;14;7
;2;101;111;126;212;77;24;186;144
;5;135;168;110;193;43;149;46;16
;38;0;0;0;0;0;0;0;0
29;0;18;110;0;108;133;139;50;25
;4;28;17;154;61;25;161;27;57
;39;0;0;0;0;0;0;0;0
30;2;71;120;0;106;87;84;70;37
;5;240;154;35;44;56;173;17;139
;7;9;52;51;185;104;93;50;221
;9;84;56;134;176;70;29;6;17
;40;0;0;0;0;0;0;0;0
31;1;106;3;0;147;80;117;115;201
;13;1;170;20;182;139;148;189;46
;41;0;0;0;0;0;0;0;0
32;0;242;84;0;108;32;116;110;179
;5;44;8;20;21;89;73;0;14
;12;166;17;122;110;71;142;163;116
;42;0;0;0;0;0;0;0;0
33;2;132;165;0;71;135;105;163;46
;7;164;179;88;12;6;137;173;2
;10;235;124;13;109;2;29;179;106
;43;0;0;0;0;0;0;0;0
34;0;147;173;0;29;37;11;197;184
;12;85;177;19;201;25;41;191;135
;13;36;12;78;69;114;162;193;141
;44;0;0;0;0;0;0;0;0
35;1;57;77;0;91;60;126;157;85
;5;40;184;157;165;137;152;167;225
;11;63;18;6;55;93;172;181;175
;45;0;0;0;0;0;0;0;0
36;0;140;25;0;1;121;73;197;178
;2;38;151;63;175;129;154;167;112
;7;154;170;82;83;26;129;179;106
;46;0;0;0;0;0;0;0;0
37;10;219;37;0;40;97;167;181;154
;13;151;31;144;12;56;38;193;114
;47;0;0;0;0;0;0;0;0
38;1;31;84;0;37;1;112;157;42
;5;66;151;93;97;70;7;173;41
;11;38;190;19;46;1;19;191;105
;48;0;0;0;0;0;0;0;0
39;0;239;93;0;106;119;109;181;167
;7;172;132;24;181;32;6;157;45
;12;34;57;138;154;142;105;173;189
;49;0;0;0;0;0;0;0;0
40;2;0;103;0;98;6;160;193;78
;10;75;107;36;35;73;156;163;67
;13;120;163;143;36;102;82;179;180
;50;0;0;0;0;0;0;0;0
41;1;129;147;0;120;48;132;191;53
;5;229;7;2;101;47;6;197;215
;11;118;60;55;81;19;8;167;230
;51;0;0;0;0;0;0;0;0
